epoch,train_loss,global_test_acc,global_test_loss,rec_apa,rec_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,w_rn,w_rec,w_pfl,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
99,1.069609,29.050000,2.018440,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,1.000000,0.000000,0.000000,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000
100,0.453425,28.590000,2.138993,0.000000,0.000000,0.000000,0.000000,0.548400,0.026000,0.548400,0.268400,1,1.000000,0.000000,0.000000,2742,130,2742,5000,2414,3124,710,328,1038,0.880379,0.772727
101,0.498451,28.960000,2.272600,0.000000,0.000000,0.000000,0.000000,0.556400,0.000000,0.556400,0.232200,0,1.000000,0.000000,0.000000,2782,0,2782,5000,2531,3176,645,251,896,0.909777,0.796914
102,0.381863,29.550000,2.315743,0.000000,0.000000,0.000000,0.000000,0.606000,0.000000,0.606000,0.253000,0,1.000000,0.000000,0.000000,3030,0,3030,5000,2696,3704,1008,334,1342,0.889769,0.727862
103,0.527840,38.940000,2.271136,0.000000,0.000000,0.000000,0.000000,0.606800,0.000000,0.606800,0.270800,0,1.000000,0.000000,0.000000,3034,0,3034,5000,2577,3356,779,457,1236,0.849374,0.767878
104,0.857772,31.400000,2.372678,0.000000,0.000000,0.000000,0.000000,0.593000,0.000000,0.593000,0.264600,0,1.000000,0.000000,0.000000,2965,0,2965,5000,2109,3108,999,856,1855,0.711298,0.678571
105,0.416259,28.500000,2.718168,0.000000,0.000000,0.000000,0.000000,0.485400,0.014600,0.485400,0.258200,1,1.000000,0.000000,0.000000,2427,73,2427,5000,2157,3700,1543,270,1813,0.888752,0.582973
106,0.728978,29.940000,2.565916,0.000000,0.000000,0.000000,0.000000,0.520000,0.000000,0.520000,0.220000,0,1.000000,0.000000,0.000000,2600,0,2600,5000,1878,2984,1106,722,1828,0.722308,0.629357
107,0.585527,27.640000,2.561298,0.000000,0.000000,0.000000,0.000000,0.590600,0.000000,0.590600,0.342400,0,1.000000,0.000000,0.000000,2953,0,2953,5000,2502,3680,1178,451,1629,0.847274,0.679891
108,0.519632,32.230000,2.617931,0.000000,0.000000,0.000000,0.000000,0.588200,0.000000,0.588200,0.404600,0,1.000000,0.000000,0.000000,2941,0,2941,5000,2483,3100,617,458,1075,0.844271,0.800968
