epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
123,63.152000,1.043489,63.190000,1.057366,0.196764,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
124,54.732000,1.255563,61.850000,1.071983,0.170436,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
125,61.418000,1.075143,59.910000,1.140264,0.186711,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
126,59.112000,1.138669,55.510000,1.302253,0.140883,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
127,49.014000,1.381851,50.510000,1.371662,0.144598,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
128,53.968000,1.291021,54.730000,1.295493,0.185340,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
129,59.370000,1.177802,60.720000,1.117339,0.198987,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
130,58.726000,1.156767,60.020000,1.164851,0.189572,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
131,63.012000,1.048522,63.490000,1.050068,0.224070,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
132,58.746000,1.207866,55.370000,1.358993,0.111610,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
133,61.990000,1.072935,65.370000,0.997809,0.190957,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
134,62.460000,1.052463,61.740000,1.100170,0.197492,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
135,60.020000,1.119933,59.670000,1.149672,0.123327,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
136,53.924000,1.316835,54.490000,1.343618,0.135954,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
137,59.714000,1.090094,61.500000,1.052790,0.150843,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
138,56.176000,1.251258,61.040000,1.146463,0.150532,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
139,56.190000,1.209647,55.440000,1.267190,0.128776,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
140,52.416000,1.381955,54.220000,1.373533,0.161086,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
141,58.252000,1.136964,60.510000,1.095522,0.194219,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
142,62.842000,1.052612,60.800000,1.140495,0.152662,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
143,49.870000,1.423911,48.290000,1.516406,0.117293,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
144,60.806000,1.080898,62.630000,1.064896,0.188866,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
145,64.318000,1.007594,59.570000,1.194123,0.123919,10,5000,5000,0,5000,0,5000,5000,0,0,0,0,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000
