epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,net2_holdout_acc,net2_holdout_loss
295,26.320000,3.268910,0.961342,0.804200,-1,-1
296,29.170000,3.240520,1.037281,0.821400,-1,-1
297,27.860000,3.263379,0.933452,0.805000,-1,-1
298,24.970000,3.294763,1.212579,0.782000,-1,-1
299,24.970000,3.377629,0.910910,0.719000,-1,-1
300,26.040000,3.350170,1.223429,0.782800,-1,-1
301,26.930000,3.391018,0.773050,0.754000,-1,-1
302,26.380000,3.292391,0.962928,0.873400,-1,-1
303,23.150000,3.341180,1.188288,0.749800,-1,-1
304,23.110000,3.349168,1.229749,0.749000,-1,-1
305,24.700000,3.328730,1.168322,0.780600,-1,-1
306,23.620000,3.386675,1.173253,0.743600,-1,-1
307,23.860000,3.339534,1.383121,0.733000,-1,-1
308,25.380000,3.307097,1.023291,0.795000,-1,-1
309,25.640000,3.298359,0.945219,0.815400,-1,-1
310,25.550000,3.404912,0.851389,0.834600,-1,-1
311,22.670000,3.364924,1.235342,0.798000,-1,-1
312,24.950000,3.377194,0.668845,0.799400,-1,-1
313,26.200000,3.317549,1.134029,0.770200,-1,-1
314,26.080000,3.321073,0.919352,0.728200,-1,-1
315,22.900000,3.370994,1.014021,0.872400,-1,-1
316,23.970000,3.405507,0.802631,0.874200,-1,-1
317,28.940000,3.274096,0.991432,0.763000,-1,-1
318,24.460000,3.340494,1.187922,0.784800,-1,-1
319,26.180000,3.319675,0.989325,0.860000,-1,-1
320,27.090000,3.319666,0.889575,0.795600,-1,-1
321,24.930000,3.357036,1.063890,0.752200,-1,-1
322,23.470000,3.400346,0.874807,0.751600,-1,-1
323,24.650000,3.410132,0.928829,0.754600,-1,-1
324,22.760000,3.446454,0.973474,0.839400,-1,-1
325,26.970000,3.389135,0.865420,0.741200,-1,-1
326,25.740000,3.359789,1.194728,0.808600,-1,-1
327,22.870000,3.414197,0.905385,0.765800,-1,-1
328,22.400000,3.407965,1.369440,0.840000,-1,-1
329,23.590000,3.390071,1.176306,0.802800,-1,-1
330,24.130000,3.392469,0.894261,0.799200,-1,-1
331,24.760000,3.401884,0.858747,0.813600,-1,-1
332,27.480000,3.300189,0.815035,0.787400,-1,-1
333,26.910000,3.311265,0.801566,0.858200,-1,-1
334,26.400000,3.338178,1.015850,0.833200,-1,-1
335,28.020000,3.350814,0.991841,0.761800,-1,-1
336,23.920000,3.415531,0.926151,0.752600,-1,-1
337,25.770000,3.316716,0.873954,0.715800,-1,-1
338,24.540000,3.401522,1.054490,0.719000,-1,-1
339,28.570000,3.349215,0.893468,0.764800,-1,-1
340,23.430000,3.406866,1.215209,0.806400,-1,-1
341,25.220000,3.356905,0.964776,0.802600,-1,-1
342,27.620000,3.391076,0.668243,0.835000,-1,-1
343,28.720000,3.308785,0.843579,0.821000,-1,-1
344,27.150000,3.351370,0.961467,0.811200,-1,-1
345,22.300000,3.530341,0.920181,0.719600,-1,-1
346,26.780000,3.357513,1.021558,0.772200,-1,-1
347,23.090000,3.364658,1.367340,0.737000,-1,-1
348,24.650000,3.380809,0.818546,0.734200,-1,-1
349,26.360000,3.334024,1.171269,0.801400,-1,-1
350,26.980000,3.333014,0.942418,0.888600,-1,-1
351,26.160000,3.417161,0.925643,0.848800,-1,-1
352,27.780000,3.279527,0.973385,0.834600,-1,-1
353,26.270000,3.305256,1.157194,0.852400,-1,-1
354,24.260000,3.401077,1.111513,0.747000,-1,-1
355,29.730000,3.270292,0.804493,0.854200,-1,-1
356,23.170000,3.428707,1.064402,0.731200,-1,-1
357,28.740000,3.321699,0.900578,0.846400,-1,-1
358,25.760000,3.395993,0.925135,0.800000,-1,-1
359,28.020000,3.326792,0.755758,0.859800,-1,-1
360,30.180000,3.360786,0.757016,0.773200,-1,-1
361,26.970000,3.372383,1.035782,0.750400,-1,-1
362,25.860000,3.402441,1.098120,0.773400,-1,-1
363,28.450000,3.350196,0.966586,0.757600,-1,-1
364,23.810000,3.482983,0.839039,0.876200,-1,-1
365,26.160000,3.354685,0.866964,0.824200,-1,-1
366,28.050000,3.362111,0.806578,0.746800,-1,-1
367,22.570000,3.561644,0.800818,0.751000,-1,-1
368,25.190000,3.373621,0.867668,0.905800,-1,-1
369,30.720000,3.282449,0.616239,0.838600,-1,-1
370,26.290000,3.395649,0.988374,0.780000,-1,-1
371,27.270000,3.350502,0.912278,0.795800,-1,-1
372,24.330000,3.427172,1.119089,0.769800,-1,-1
373,28.170000,3.355417,0.711817,0.803600,-1,-1
374,26.610000,3.390975,1.155482,0.765000,-1,-1
375,25.000000,3.451711,1.006857,0.852400,-1,-1
376,28.210000,3.290309,0.687099,0.849800,-1,-1
377,22.740000,3.482934,0.931847,0.832800,-1,-1
378,27.280000,3.359091,1.002297,0.862600,-1,-1
379,26.440000,3.355689,0.753845,0.809000,-1,-1
380,24.800000,3.401458,1.221841,0.776200,-1,-1
381,24.860000,3.405962,1.190021,0.809200,-1,-1
382,25.910000,3.385747,1.055023,0.762000,-1,-1
383,26.370000,3.404379,0.914147,0.851200,-1,-1
384,22.900000,3.604937,0.868582,0.837800,-1,-1
385,28.450000,3.388078,1.032197,0.831800,-1,-1
386,25.580000,3.396517,0.983362,0.716200,-1,-1
387,24.560000,3.408433,1.036376,0.814400,-1,-1
388,27.930000,3.315595,0.909799,0.782400,-1,-1
389,26.810000,3.358447,1.117397,0.797600,-1,-1
390,26.020000,3.462165,0.969801,0.803800,-1,-1
