epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_clean_ratio,net2_precision,net2_recall,selection_precision,selection_recall,false_clean,missed_clean,neighbor_net2_used_ratio,neighbor_ft_ep,net2_ft_ep
82,33.340000,1.958241,1.392654,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
83,33.480000,1.959279,1.412090,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
84,33.430000,1.957339,1.439219,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
85,31.400000,1.980390,1.359549,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
86,32.060000,1.967520,1.451146,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
87,33.400000,1.940443,1.300121,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
88,32.770000,1.964927,1.429749,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
89,34.010000,1.953130,1.373009,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
90,33.190000,1.957211,1.320587,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
91,31.990000,1.972533,1.354559,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
92,31.720000,1.975159,1.471690,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
93,34.120000,1.953833,1.282194,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
94,32.020000,1.976106,1.452225,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
95,32.280000,1.956043,1.259562,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
96,33.590000,1.943908,1.395855,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
97,31.470000,1.977859,1.457974,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
98,31.170000,1.975844,1.351198,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
99,32.190000,1.965046,1.392456,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,-1.000000,1,1
100,38.870000,1.804051,0.416084,0.654080,0.688000,0.833372,0.923821,0.654080,0.926798,0.976734,-1.000000,-1.000000,-1.000000,0.926798,0.976734,1197,361,0.000000,1,1
101,43.570000,1.664788,0.416562,0.648920,0.666680,0.874123,0.936311,0.648920,0.937435,0.977378,-1.000000,-1.000000,-1.000000,0.937435,0.977378,1015,352,0.000000,1,1
102,43.820000,1.626339,0.424625,0.615440,0.630480,0.878759,0.961608,0.615440,0.916353,0.978825,-1.000000,-1.000000,-1.000000,0.916353,0.978825,1287,305,0.000000,1,1
103,44.240000,1.582954,0.384243,0.644960,0.646240,0.924796,0.959479,0.644960,0.941516,0.974891,-1.000000,-1.000000,-1.000000,0.941516,0.974891,943,391,0.000000,1,1
104,46.930000,1.552723,0.393784,0.630000,0.635320,0.922181,0.972060,0.630000,0.937333,0.979758,-1.000000,-1.000000,-1.000000,0.937333,0.979758,987,305,0.000000,1,1
105,47.540000,1.509410,0.305642,0.622880,0.627600,0.941236,0.976720,0.622880,0.949782,0.978175,-1.000000,-1.000000,-1.000000,0.949782,0.978175,782,330,0.000000,1,1
106,49.730000,1.486771,0.330389,0.635440,0.640880,0.937274,0.973360,0.635440,0.949704,0.977897,-1.000000,-1.000000,-1.000000,0.949704,0.977897,799,341,0.000000,1,1
107,46.260000,1.506745,0.359566,0.605840,0.607960,0.941838,0.969851,0.605840,0.945992,0.970732,-1.000000,-1.000000,-1.000000,0.945992,0.970732,818,432,0.000000,1,1
108,49.950000,1.449357,0.321854,0.618880,0.616440,0.943222,0.969325,0.618880,0.945773,0.975794,-1.000000,-1.000000,-1.000000,0.945773,0.975794,839,363,0.000000,1,1
109,50.080000,1.443463,0.336808,0.595280,0.596200,0.929822,0.969161,0.595280,0.933275,0.971259,-1.000000,-1.000000,-1.000000,0.933275,0.971259,993,411,0.000000,1,1
110,50.430000,1.449985,0.370862,0.622560,0.626240,0.922777,0.968557,0.622560,0.930224,0.970636,-1.000000,-1.000000,-1.000000,0.930224,0.970636,1086,438,0.000000,1,1
111,48.350000,1.439689,0.308639,0.625720,0.622960,0.951650,0.963905,0.625720,0.953717,0.970278,-1.000000,-1.000000,-1.000000,0.953717,0.970278,724,457,0.000000,1,1
112,51.640000,1.384924,0.259599,0.639600,0.635720,0.969483,0.975437,0.639600,0.968793,0.980691,-1.000000,-1.000000,-1.000000,0.968793,0.980691,499,305,0.000000,1,1
113,50.790000,1.402810,0.231642,0.643680,0.638400,0.974123,0.966613,0.643680,0.974957,0.975441,-1.000000,-1.000000,-1.000000,0.974957,0.975441,403,395,0.000000,1,1
