epoch,global_test_acc,global_test_loss,train_loss,clean_ratio,scoreA_clean_ratio,scoreA_precision,scoreA_recall,fedrn_clean_ratio,fedrn_precision,fedrn_recall,net2_bootstrap_clean_ratio,net2_bootstrap_precision,net2_bootstrap_recall,selection_precision,selection_recall,false_clean,missed_clean,phase,selected_net2_best_epoch_avg,selected_net2_best_holdout_acc_avg,selected_net2_current_holdout_acc_avg
95,31.650000,2.003905,0.834916,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,45.700000,89.900000,81.800000
96,30.610000,1.983383,1.011832,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,40.600000,89.100000,78.800000
97,29.480000,2.010345,1.776231,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,16.100000,78.900000,56.200000
98,25.900000,2.044764,1.226072,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,37.300000,79.500000,71.800000
99,29.860000,1.946780,1.049373,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,0,net2_search,42.300000,91.900000,84.100000
100,33.290000,1.907674,0.429520,0.643000,0.669000,0.855755,0.914537,0.643000,0.928072,0.953275,-1.000000,-1.000000,-1.000000,0.928072,0.953275,185,117,fedrn_stable,28.000000,83.000000,70.500000
101,34.090000,1.856578,0.522223,0.594500,0.631750,0.810051,0.906956,0.594500,0.905383,0.953921,-1.000000,-1.000000,-1.000000,0.905383,0.953921,225,104,fedrn_stable,42.600000,74.500000,65.600000
102,31.730000,2.045482,0.423828,0.602000,0.656250,0.841905,0.948498,0.602000,0.934385,0.965665,-1.000000,-1.000000,-1.000000,0.934385,0.965665,158,80,fedrn_stable,26.100000,81.400000,67.300000
103,33.450000,1.907116,0.532024,0.496000,0.592000,0.730152,0.919681,0.496000,0.894657,0.944149,-1.000000,-1.000000,-1.000000,0.894657,0.944149,209,105,fedrn_stable,23.500000,74.100000,57.900000
104,39.970000,1.677809,0.351491,0.613250,0.641000,0.880265,0.930338,0.613250,0.952303,0.962902,-1.000000,-1.000000,-1.000000,0.952303,0.962902,117,90,fedrn_stable,33.400000,88.000000,75.500000
105,34.810000,1.802229,0.419250,0.686500,0.694250,0.900252,0.911743,0.686500,0.953387,0.954778,-1.000000,-1.000000,-1.000000,0.953387,0.954778,128,124,fedrn_stable,29.700000,79.700000,68.100000
106,39.080000,1.746372,0.299788,0.683500,0.672500,0.974721,0.952070,0.683500,0.977688,0.970588,-1.000000,-1.000000,-1.000000,0.977688,0.970588,61,81,fedrn_stable,32.400000,86.600000,76.900000
107,31.730000,1.840362,0.336311,0.606500,0.644000,0.899845,0.964226,0.606500,0.955070,0.963810,-1.000000,-1.000000,-1.000000,0.955070,0.963810,109,87,fedrn_stable,23.000000,81.100000,69.500000
108,44.870000,1.607160,0.449281,0.551250,0.583250,0.850836,0.958474,0.551250,0.916100,0.975374,-1.000000,-1.000000,-1.000000,0.916100,0.975374,185,51,fedrn_stable,27.200000,77.000000,61.100000
109,33.890000,1.816375,0.372990,0.546250,0.558500,0.876455,0.925331,0.546250,0.940046,0.970699,-1.000000,-1.000000,-1.000000,0.940046,0.970699,131,62,fedrn_stable,47.600000,79.800000,67.200000
110,33.750000,1.779367,0.288478,0.643250,0.668250,0.926300,0.956723,0.643250,0.978236,0.972566,-1.000000,-1.000000,-1.000000,0.978236,0.972566,56,71,fedrn_stable,23.800000,86.200000,72.100000
111,38.220000,1.711564,0.214414,0.699750,0.697750,0.963096,0.935282,0.699750,0.986781,0.961030,-1.000000,-1.000000,-1.000000,0.986781,0.961030,37,112,fedrn_stable,28.400000,90.100000,80.100000
112,42.250000,1.586413,0.300172,0.738250,0.729250,0.962633,0.942282,0.738250,0.973586,0.964765,-1.000000,-1.000000,-1.000000,0.973586,0.964765,78,105,fedrn_stable,47.800000,83.700000,78.300000
113,39.220000,1.668622,0.318986,0.591000,0.623500,0.898957,0.961819,0.591000,0.960237,0.973831,-1.000000,-1.000000,-1.000000,0.960237,0.973831,94,61,fedrn_stable,47.500000,81.500000,70.000000
114,40.430000,1.621975,0.233779,0.728500,0.725000,0.984483,0.955809,0.728500,0.987303,0.963174,-1.000000,-1.000000,-1.000000,0.987303,0.963174,37,110,fedrn_stable,49.100000,87.300000,80.800000
115,36.360000,1.824361,0.271855,0.512500,0.536500,0.929171,0.946369,0.512500,0.966829,0.940674,-1.000000,-1.000000,-1.000000,0.966829,0.940674,68,125,fedrn_stable,58.800000,80.200000,64.500000
