epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
94,1.561433,28.690000,2.035194,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,2692,2692,0,2308,2308,0.538400,1.000000
95,0.848690,29.630000,1.971311,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,4060,4060,0,940,940,0.812000,1.000000
96,1.036005,31.570000,1.963304,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,3888,3888,0,1112,1112,0.777600,1.000000
97,1.805362,32.350000,1.974882,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,2108,2108,0,2892,2892,0.421600,1.000000
98,1.254314,28.430000,2.005745,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,3424,3424,0,1576,1576,0.684800,1.000000
99,1.073666,30.810000,1.941009,0.000000,0.000000,1.000000,0.000000,1.000000,0,5000,0,5000,5000,3648,3648,0,1352,1352,0.729600,1.000000
100,0.592205,35.300000,1.892071,0.000000,0.000000,0.571600,0.074800,0.646400,1,2858,374,3232,5000,2807,3124,317,425,742,0.868502,0.898528
101,0.662195,36.430000,2.019041,0.000000,0.000000,0.530800,0.000000,0.530800,0,2654,0,2654,5000,2091,2816,725,563,1288,0.787867,0.742543
102,0.764143,29.660000,2.103893,0.000000,0.000000,0.487200,0.111600,0.598800,1,2436,558,2994,5000,2294,2524,230,700,930,0.766199,0.908875
103,0.593880,32.020000,2.124660,0.000000,0.000000,0.591000,0.000000,0.591000,0,2955,0,2955,5000,2519,3044,525,436,961,0.852453,0.827530
104,0.508163,35.060000,1.931228,0.000000,0.000000,0.634400,0.081600,0.716000,1,3172,408,3580,5000,3152,3328,176,428,604,0.880447,0.947115
105,0.315234,39.660000,1.950564,0.000000,0.000000,0.647000,0.000000,0.647000,0,3235,0,3235,5000,3040,3408,368,195,563,0.939722,0.892019
106,0.832635,26.090000,2.101504,0.000000,0.000000,0.590000,0.100600,0.690600,1,2950,503,3453,5000,2685,2824,139,768,907,0.777585,0.950779
107,0.632749,22.130000,2.148415,0.000000,0.000000,0.600800,0.000000,0.600800,0,3004,0,3004,5000,2446,2752,306,558,864,0.814248,0.888808
108,0.771644,29.960000,1.942750,0.000000,0.000000,0.601200,0.061800,0.663000,1,3006,309,3315,5000,2628,2780,152,687,839,0.792760,0.945324
109,0.594624,42.350000,1.607883,0.000000,0.000000,0.663800,0.000000,0.663800,0,3319,0,3319,5000,2888,3136,248,431,679,0.870142,0.920918
110,0.493469,37.710000,1.688677,0.000000,0.000000,0.698800,0.029600,0.728400,1,3494,148,3642,5000,3257,3356,99,385,484,0.894289,0.970501
111,0.291146,39.870000,1.618424,0.000000,0.000000,0.615800,0.000000,0.615800,0,3079,0,3079,5000,2970,3296,326,109,435,0.964599,0.901092
112,0.944792,42.660000,1.634379,0.000000,0.000000,0.658200,0.032800,0.691000,1,3291,164,3455,5000,2584,2652,68,871,939,0.747902,0.974359
113,0.540751,36.280000,1.778480,0.000000,0.000000,0.611600,0.000000,0.611600,0,3058,0,3058,5000,2634,2888,254,424,678,0.861347,0.912050
114,0.760288,39.780000,1.672884,0.000000,0.000000,0.575000,0.082800,0.657800,1,2875,414,3289,5000,2555,2716,161,734,895,0.776832,0.940722
115,0.845086,44.490000,1.569474,0.000000,0.000000,0.614800,0.000000,0.614800,0,3074,0,3074,5000,2339,2540,201,735,936,0.760898,0.920866
116,0.711390,45.640000,1.521393,0.000000,0.000000,0.668200,0.039800,0.708000,1,3341,199,3540,5000,2902,2992,90,638,728,0.819774,0.969920
117,0.567616,45.070000,1.544548,0.000000,0.000000,0.652800,0.000000,0.652800,0,3264,0,3264,5000,2737,3028,291,527,818,0.838542,0.903897
118,0.668494,39.690000,1.608077,0.000000,0.000000,0.713800,0.040200,0.754000,1,3569,201,3770,5000,3095,3260,165,675,840,0.820955,0.949387
119,0.478825,41.990000,1.639606,0.000000,0.000000,0.707000,0.000000,0.707000,0,3535,0,3535,5000,3165,3460,295,370,665,0.895332,0.914740
120,0.901574,37.780000,1.714435,0.000000,0.000000,0.648000,0.049200,0.697200,1,3240,246,3486,5000,2652,2740,88,834,922,0.760757,0.967883
121,0.679562,43.810000,1.596266,0.000000,0.000000,0.576000,0.000000,0.576000,0,2880,0,2880,5000,2242,2440,198,638,836,0.778472,0.918852
122,0.447546,43.680000,1.618542,0.000000,0.000000,0.557200,0.039200,0.596400,1,2786,196,2982,5000,2657,2712,55,325,380,0.891013,0.979720
123,0.510819,37.780000,1.798847,0.000000,0.000000,0.638600,0.000000,0.638600,0,3193,0,3193,5000,2807,3080,273,386,659,0.879111,0.911364
124,0.603117,47.080000,1.452328,0.000000,0.000000,0.636400,0.054600,0.691000,1,3182,273,3455,5000,3044,3124,80,411,491,0.881042,0.974392
125,0.483523,42.880000,1.551730,0.000000,0.000000,0.635800,0.000000,0.635800,0,3179,0,3179,5000,2793,3040,247,386,633,0.878578,0.918750
126,0.713561,47.310000,1.465020,0.000000,0.000000,0.652600,0.043000,0.695600,1,3263,215,3478,5000,2787,2840,53,691,744,0.801323,0.981338
127,0.836309,43.180000,1.512841,0.000000,0.000000,0.602400,0.000000,0.602400,0,3012,0,3012,5000,2157,2272,115,855,970,0.716135,0.949384
128,0.761906,44.410000,1.530585,0.000000,0.000000,0.668200,0.033000,0.701200,1,3341,165,3506,5000,2769,2824,55,737,792,0.789789,0.980524
129,0.322575,45.810000,1.524839,0.000000,0.000000,0.709000,0.000000,0.709000,0,3545,0,3545,5000,3357,3644,287,188,475,0.946968,0.921240
