epoch,train_loss,selected_clients,selected_train_label_correct,local_train_acc_noisy,local_train_acc_true,local_train_loss_noisy,hc_cov_0.80,hc_acc_true_0.80,disagree_count_0.80,disagree_corr_acc_0.80,agree_count_0.80,agree_label_precision_0.80,local_holdout_acc,local_holdout_loss
135,0.011246,50,0.595500,99.897500,60.445000,0.011196,0.995025,60.573855,8,12.500000,39793,0.605835,63.050000,1.672679
136,0.011927,50,0.598900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
137,0.010440,50,0.613500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
138,0.010481,50,0.593950,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
139,0.010052,50,0.599250,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
140,0.009057,50,0.596000,99.940000,60.482500,0.009903,0.995975,60.568789,7,14.285714,39832,0.605769,62.330000,1.698066
141,0.009060,50,0.616750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
142,0.009427,50,0.566100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
143,0.010282,50,0.584200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
144,0.009762,50,0.618100,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
145,0.009189,50,0.619450,99.957500,60.507500,0.008763,0.996375,60.614728,3,33.333333,39852,0.606168,62.960000,1.652876
146,0.009588,50,0.621900,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
147,0.010076,50,0.571450,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
148,0.009365,50,0.601750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
149,0.009173,50,0.625400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
150,0.008744,50,0.603250,99.945000,60.507500,0.008510,0.996900,60.605377,6,50.000000,39870,0.606070,63.120000,1.676533
151,0.008081,50,0.591550,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
152,0.008568,50,0.623750,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
153,0.007875,50,0.637300,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
154,0.008867,50,0.604000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
155,0.010551,50,0.638450,99.920000,60.502500,0.009063,0.996700,60.599980,12,33.333333,39856,0.606082,63.000000,1.700600
156,0.008615,50,0.559000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
157,0.008265,50,0.608700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
158,0.007784,50,0.601150,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
159,0.007673,50,0.615050,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
160,0.007183,50,0.617800,99.977500,60.495000,0.007297,0.997175,60.551057,1,0.000000,39886,0.605526,63.300000,1.698729
161,0.007463,50,0.568700,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
162,0.007245,50,0.595850,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
163,0.006810,50,0.597200,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
164,0.006849,50,0.597400,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
165,0.008447,50,0.595300,99.967500,60.505000,0.006750,0.997975,60.552619,3,0.000000,39916,0.605572,63.120000,1.722197
166,0.007316,50,0.570500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
167,0.006931,50,0.597500,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0,-1.000000,0,-1.000000,-1.000000,-1.000000
