Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
172,21.898000,2.187151,24.420000,2.120224,1.435446,1180.02
173,23.462000,2.144846,26.190000,2.047333,1.401882,1186.66
174,23.224000,2.155809,25.500000,2.075494,1.390987,1193.26
175,22.634000,2.180138,24.700000,2.106492,1.388776,1199.90
176,20.396000,2.263843,22.870000,2.171238,1.359644,1206.51
177,23.272000,2.143491,25.320000,2.063582,1.427778,1213.18
178,22.252000,2.173557,23.970000,2.106134,1.396274,1219.92
179,22.158000,2.169892,24.330000,2.097875,1.398639,1226.65
180,22.256000,2.168209,23.990000,2.097921,1.367678,1233.33
181,22.060000,2.175878,23.600000,2.096245,1.379851,1240.05
182,20.452000,2.229880,22.430000,2.193360,1.392473,1246.75
183,21.446000,2.215608,23.520000,2.160115,1.383073,1253.52
184,21.906000,2.189055,24.610000,2.125917,1.388314,1260.11
185,22.110000,2.179138,24.330000,2.115940,1.425548,1266.72
186,21.480000,2.211759,23.950000,2.127651,1.382602,1273.35
187,21.576000,2.177824,22.600000,2.105191,1.395778,1279.99
188,22.450000,2.175758,24.360000,2.098451,1.387673,1286.65
189,22.650000,2.182479,24.180000,2.126032,1.382379,1293.43
190,22.084000,2.180651,24.250000,2.115448,1.387922,1300.04
191,22.462000,2.182701,23.740000,2.123944,1.380784,1306.71
192,23.228000,2.140339,25.700000,2.032725,1.373152,1313.44
193,22.412000,2.166353,24.250000,2.082216,1.399345,1320.16
194,22.548000,2.162256,25.260000,2.064610,1.370010,1326.88
195,20.972000,2.229551,24.330000,2.172796,1.365376,1333.57
196,22.104000,2.181179,23.550000,2.136026,1.370833,1340.24
197,23.592000,2.160716,26.880000,2.078250,1.351555,1346.91
198,21.602000,2.211787,23.530000,2.162657,1.395700,1353.56
199,22.660000,2.161078,24.430000,2.071758,1.367206,1360.26
200,20.906000,2.203448,22.050000,2.179559,1.417617,1366.99
201,21.032000,2.211918,22.510000,2.168887,1.381542,1373.68
202,21.140000,2.180913,22.580000,2.127240,1.410388,1380.46
203,20.430000,2.208943,21.000000,2.189317,1.363823,1387.12
204,20.008000,2.242223,21.040000,2.214533,1.403200,1393.82
205,18.346000,2.279699,17.900000,2.289024,1.389020,1400.50
206,21.054000,2.218909,23.310000,2.178679,1.388116,1407.02
