Experiment Start: 20260519-142714
Args: Namespace(T=0.5, all_clients=False, alpha=1.2, beta=0.8, bs=128, dataset='cifar10', dd_alpha=0.5, device=device(type='cuda', index=0), epochs=200, fed_method='fedavg', forget_rate=0.2, frac=0.1, gpu=0, group_noise_rate=[0.0, 0.4], iid=False, labeling='soft', lambda_u=25, local_bs=50, local_ep=5, lr=0.01, lr_decay=0.1, method='fedrn', mm_alpha=4, model='cnn4conv', momentum=0.5, noise_group_num=[100], noise_type_lst=['symmetric'], num_channels=3, num_classes=10, num_neighbors=2, num_shards=200, num_users=100, num_workers=0, p_threshold=0.5, partition='shard', queue_size=15, schedule=[], seed=1, send_2_models=False, split='user', uncertainty_threshold=0.05, verbose=False, w_alpha=0.6, warmup_epochs=100, weight_decay=0)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
174,40.636000,2.073889,52.320000,1.321240,0.179989,5757.32
175,43.400000,1.997830,55.120000,1.296723,0.160969,5797.20
176,47.110000,1.857200,59.090000,1.207352,0.129201,5833.33
177,46.418000,1.947156,53.920000,1.383690,0.168246,5870.09
178,44.168000,1.933563,52.890000,1.323272,0.204712,5906.43
179,39.690000,2.130073,48.740000,1.449187,0.112916,5949.80
180,35.086000,2.438637,47.960000,1.507217,0.188398,5993.10
181,45.316000,1.955526,55.060000,1.278478,0.109242,6028.16
182,43.248000,1.970184,53.430000,1.321228,0.167870,6062.78
183,44.954000,1.951400,51.030000,1.377120,0.113006,6097.93
184,48.618000,1.845845,54.910000,1.318685,0.165931,6132.80
185,45.754000,1.917026,56.590000,1.214494,0.136084,6167.82
186,50.134000,1.752957,56.490000,1.232240,0.168513,6201.66
187,44.580000,1.929371,51.720000,1.312871,0.113709,6236.78
188,46.330000,1.924788,51.620000,1.382172,0.154288,6270.74
189,49.044000,1.812545,57.060000,1.239871,0.198665,6305.68
190,48.762000,1.803461,56.680000,1.219772,0.137619,6339.93
191,50.268000,1.785717,60.470000,1.138954,0.179053,6374.13
192,45.928000,1.943959,56.810000,1.230242,0.138836,6408.30
193,42.220000,2.146557,50.170000,1.431499,0.135840,6442.39
194,51.378000,1.759948,62.010000,1.102274,0.199981,6476.39
195,49.854000,1.780938,61.680000,1.080045,0.190190,6510.29
196,43.660000,2.031188,52.220000,1.356189,0.139511,6544.46
197,43.640000,2.043468,52.000000,1.400867,0.087193,6578.57
198,46.860000,1.963527,55.070000,1.375790,0.160505,6612.69
199,45.516000,2.000638,54.820000,1.362072,0.137180,6646.32
Total training time: 6646.32 seconds
