epoch,train_loss,global_test_acc,global_test_loss,correction_apa,correction_loss,core_ratio,recover_clean_ratio,corrected_ratio,net1_train_ratio,correction_trigger,core_count,recover_clean_count,corrected_count,net1_return_count,net1_train_count,net2_train_count,total_count,actual_net1_label_correct_count,actual_round_clean_count,selected_original_clean_count,missed_clean_count,false_train_label_count,correction_correct_count,correction_false_count,persistent_update_count,correction_acc,agg_weight_sum,actual_net1_label_correct_ratio,orig_clean_recall
102,0.556430,40.170000,1.712893,0.000000,0.000000,0.599680,0.000000,0.000000,0.599680,0,14992,0,0,0,14992,14992,25000,13146,14404,13146,1258,1846,0,0,0,0.000000,25000.000000,0.876868,0.912663
103,0.512431,42.550000,1.653170,0.000000,0.000000,0.622160,0.000000,0.000000,0.622160,0,15554,0,0,0,15554,15554,25000,13941,15572,13941,1631,1613,0,0,0,0.000000,25000.000000,0.896297,0.895261
104,0.508234,42.630000,1.634246,0.000000,0.000000,0.602000,0.000000,0.000000,0.602000,0,15050,0,0,0,15050,15050,25000,13311,15068,13311,1757,1739,0,0,0,0.000000,25000.000000,0.884452,0.883395
105,0.464061,42.850000,1.622108,0.000000,0.000000,0.603000,0.000000,0.000680,0.603000,1,15075,0,17,0,15075,15092,25000,13579,15137,13579,1558,1496,17,0,17,1.000000,25000.000000,0.900763,0.897073
106,0.524264,43.950000,1.563849,0.000000,0.000000,0.631240,0.000000,0.000000,0.631240,0,15781,0,0,0,15781,15781,25000,14069,15435,14069,1366,1712,0,0,0,0.000000,25000.000000,0.891515,0.911500
107,0.586321,45.210000,1.524816,0.000000,0.000000,0.625480,0.000000,0.000000,0.625480,0,15637,0,0,0,15637,15637,25000,13489,14769,13489,1280,2148,0,0,0,0.000000,25000.000000,0.862633,0.913332
108,0.513236,47.830000,1.475149,0.000000,0.000000,0.641040,0.000000,0.000000,0.641040,0,16026,0,0,0,16026,16026,25000,14187,15005,14187,818,1839,0,0,0,0.000000,25000.000000,0.885249,0.945485
109,0.624889,47.400000,1.467356,0.000000,0.000000,0.638160,0.000000,0.000000,0.638160,0,15954,0,0,0,15954,15954,25000,13544,14309,13544,765,2410,0,0,0,0.000000,25000.000000,0.848941,0.946537
110,0.624629,45.170000,1.486272,0.000000,0.000000,0.671880,0.000000,0.001040,0.671880,1,16797,0,26,0,16797,16823,25000,14024,14953,14024,929,2773,26,0,26,1.000000,25000.000000,0.834911,0.937872
111,0.555184,46.120000,1.472179,0.000000,0.000000,0.667760,0.000000,0.000000,0.667760,0,16694,0,0,0,16694,16694,25000,14428,15406,14428,978,2266,0,0,0,0.000000,25000.000000,0.864263,0.936518
112,0.501565,48.780000,1.426721,0.000000,0.000000,0.676640,0.000000,0.000000,0.676640,0,16916,0,0,0,16916,16916,25000,14857,15809,14857,952,2059,0,0,0,0.000000,25000.000000,0.878281,0.939781
113,0.486485,48.950000,1.416869,0.000000,0.000000,0.683400,0.000000,0.000000,0.683400,0,17085,0,0,0,17085,17085,25000,15168,16110,15168,942,1917,0,0,0,0.000000,25000.000000,0.887796,0.941527
114,0.547308,47.850000,1.450190,0.000000,0.000000,0.644680,0.000000,0.000000,0.644680,0,16117,0,0,0,16117,16117,25000,14151,15035,14151,884,1966,0,0,0,0.000000,25000.000000,0.878017,0.941204
115,0.687075,48.740000,1.403806,0.000000,0.000000,0.668320,0.000000,0.002160,0.668320,1,16708,0,54,0,16708,16762,25000,13625,14413,13625,788,3083,51,3,54,0.944444,25000.000000,0.815478,0.945327
116,0.500138,48.440000,1.417336,0.000000,0.000000,0.685280,0.000000,0.000000,0.685280,0,17132,0,0,0,17132,17132,25000,15158,16117,15158,959,1974,0,0,0,0.000000,25000.000000,0.884777,0.940498
117,0.485831,46.750000,1.458153,0.000000,0.000000,0.654560,0.000000,0.000000,0.654560,0,16364,0,0,0,16364,16364,25000,14499,15393,14499,894,1865,0,0,0,0.000000,25000.000000,0.886030,0.941922
